"","species","water.potential","fresh.weight","inv.water.potential","saturated.water.content","relative.water.content","relative.water.deficit","osm.pot.fullturgor","max.psip","osmotic.potential","pressure.potential","apoplastic.fraction","sym.rwc","sym.rwd","relative.water.deficit.attlp","relative.water.content.attlp","sym.rwd.attlp","sym.rwc.attlp","leaf.waterpotential.attlp","modulus","modulus_sym","cap.ft.bulk","cap.ft.sym","cap.tlp.bulk","cap.tlp.sym"
"19","enfa_gj",-1.52345263157895,0.637369868421053,1.24429262086584,0.749062852445749,81.2066755915634,18.7933244084366,-1.28708879559624,1.28708879559624,-1.81770791503629,0.294255283457342,19.9658464770259,75.3717782160977,24.6282217839023,13.253792364422,86.746207635578,17.1172464776846,82.8827535223154,-1.55112742467806,12.012927028657,8.31444245860636,0.104134726426748,0.133409266605093,0.211956905947559,0.267095810196206
"20","frdi",-1.68944,0.0805328,1.44946520895546,0.110833804855474,71.9699888981577,28.0300111018423,-1.48594863183268,1.48594863183268,-2.02672828724588,0.33728828724588,-19.2051060589219,76.2464841544795,23.7535158455205,24.4770308103745,75.5229691896255,21.0451241913447,78.9548758086553,-1.86508222415982,6.2661066320377,7.56329404922139,0.140015029753804,0.121027036854746,0.369152242027984,0.303738327667644
"21","hear",-2.42541111111111,0.300836666666667,0.670131490683965,0.358262735522149,83.8544119970044,16.1455880029956,-2.3859654530372,2.3859654530372,-3.12364302989218,0.698231918781064,16.7603891035557,80.2159339039172,19.7840660960828,11.9029081611381,88.0970918388619,14.4089851851707,85.5910148148293,-2.78810129978828,20.5037289188207,17.1309389482531,0.0573091939272168,0.0704298925453636,0.122654658570329,0.150985580398302
"22","heca",-1.58966433566434,2.06152503496503,1.54364270926973,2.26914522375092,90.5995575186596,9.40044248134044,-2.31442554415774,2.31442554415774,-2.69931014397955,1.10964580831522,18.9838893523007,87.4170653568056,12.5829346431944,11.8669632609863,88.1330367390137,14.9889250967474,85.0110749032526,-2.72654782024812,21.8916408118018,17.1570778189687,0.0599118694126847,0.0775698377874575,0.16506963802686,0.195858004233434
"23","hesp",-0.82245652173913,2.38366304347826,1.76669891868811,2.78447357677737,85.3269544122387,14.6730455877613,-0.621697188575291,0.621697188575291,-0.963677325817899,0.141220804078769,49.9320007492178,69.6842304373888,30.3157695626112,14.6972347084605,85.3027652915395,30.5892690655224,69.4107309344776,-0.901054116229039,4.61439711726371,2.26937032525088,0.174451543106722,0.355671377085686,0.567270423613375,1.19151519646055
"24","laca",-0.973538461538462,0.368901923076923,1.77877829416567,0.451497962390261,81.0553722588561,18.9446277411439,-1.01919418096641,1.01919418096641,-1.29756152872322,0.324023067184762,-7.34652697683663,80.3831491525043,19.6168508474957,23.9991254920024,76.0008745079976,26.88553159978,73.11446840022,-1.41639019790415,4.55711166424968,4.97836690780133,0.167278019593638,0.175603658854077,NA,NA
"25","magr",-1.80250684931507,2.01624931506849,1.14815752719943,2.26050624516267,89.5431022502539,10.4568977497462,-1.59190391008199,1.59190391008199,-2.30408942595193,0.501582576636859,56.6829991163138,74.1671758507117,25.8328241492883,12.9399584741783,87.0600415258216,31.1584335082685,68.8415664917315,-2.31042039658144,12.7123349998281,5.63750336378576,0.0545639266790597,0.134479218732888,0.248700133373988,0.567664141892808
"26","mala",-2.49969589041096,0.431673150684931,0.66181658396662,0.557761580345452,77.5758576950266,22.4241423049734,-2.5603813313541,2.5603813313541,-3.17471343597013,0.675017545559174,-42.2318362988484,84.0505482901743,15.9494517098257,11.0463250438961,88.9536749561039,7.91980166826539,92.0801983317346,-2.78217762637287,24.7421642794855,34.0881847375238,0.0610761095263745,0.0437777666058517,0.265375370658708,0.185555365201937
"27","moma",-1.104625,0.0199266666666667,1.80369572686743,0.024062641597833,83.0336826149529,16.9663173850471,-0.860025397473863,0.860025397473863,-1.23153943842839,0.126914438428386,34.9896169090951,72.8316880152413,27.1683119847587,12.8185701853344,87.1814298146656,19.9638939389683,80.0361060610317,-1.06956247064808,8.84471260325191,4.92867654994751,0.0794017597671949,0.121390955356548,0.318658078623998,0.475139809085606
"28","movi",-1.09632352941176,0.0143491176470588,1.79198819635668,0.0179292570649021,80.0544754304424,19.9455245695576,-0.840534339114647,0.840534339114647,-1.25386356213568,0.157540032723912,13.6500839292007,70.8885859323887,29.1114140676113,17.2254553341932,82.7745446658068,26.3099372134984,73.6900627865016,-1.1314183464028,5.23522079811895,4.32642192794049,0.117232867227582,0.182256913610438,0.397647883654826,0.400684841202179
