"unique_id","leaf","saturated.water.content","osm.pot.fullturgor","apoplastic.fraction","relative.water.deficit.attlp","relative.water.content.attlp","sym.rwd.attlp","sym.rwc.attlp","leaf.waterpotential.attlp","modulus","modulus_sym","cap.ft.bulk","cap.ft.sym","cap.tlp.bulk","cap.tlp.sym"
"codi_3",3,0.150737505498882,-2.44940073748638,33.9178432359274,5.31250638040254,94.6874936195975,8.0392448439135,91.9607551560865,-2.66352829892379,46.1063114488116,30.4680450097352,0.0471240004166112,0.0713112324478966,0.110302929080364,0.166917870846996
"codi_4",4,0.124218152446434,-3.31986578336585,12.6689172085091,4.09528617783235,95.9047138221677,4.68937982552001,95.31062017448,-3.48320656951802,81.065538260456,70.7954123336066,0.041737101039644,0.047791805283457,0.134963258072757,0.154542064244172
"codi_5",5,0.223244676297185,-2.82663058855576,30.6874226415821,3.29057335623987,96.7094266437601,4.74744048143558,95.2525595185644,-2.96751142734895,85.9008532113606,59.5400953336652,0.0425972560225734,0.0614567480333351,0.146041835845737,0.210700339551001
"codi_6",6,0.135201105989084,-3.11864179092015,13.7315582341631,12.5550800640017,87.4449199359983,14.5535027722892,85.4464972277108,-3.64981818108836,24.8396806314442,21.4288054203572,0.044049146348555,0.0510605563829703,0.128864235166619,0.149375869702623
"enca_1",1,0.464286995181421,-1.06627972329316,30.9417067585441,14.0204957640285,85.9795042359715,20.3024070041916,79.6975929958084,-1.33790705994,7.60514992650153,5.25198673769579,0.105435959239104,0.152676752190294,0.260006520036749,0.376502962689304
"enca_3",3,0.411172667343442,-0.964219816120327,22.2716430221051,17.8381688210027,82.1618311789973,22.9493707503372,77.0506292496628,-1.2514106964604,5.40537442938119,4.20150873246126,0.143624620628005,0.184777636132011,0.323245484909468,0.415865583009037
"enca_4",4,0.367069110241292,-0.853214850025424,39.7169765719735,14.9701986593948,85.0298013406052,24.8331915157974,75.1668084842026,-1.13509521985989,5.69942236197363,3.43578411773074,0.169532494796227,0.28122759137759,0.255778739166264,0.424296467929558
"enca_5",5,0.183156614845762,-0.985569321115844,30.7791002029782,18.4160533792444,81.5839466207556,26.6047587264053,73.3952412735947,-1.34282455376357,5.35168584071666,3.70448509325388,0.140055781917274,0.202331640195321,0.288966019308862,0.417454872959185
"enca_6",6,0.287983614332729,-1.01550859966811,32.6075596416121,15.6866046722072,84.3133953277928,23.2765048850984,76.7234951149016,-1.32359533171329,6.47373106474305,4.36280534676938,0.124042077219603,0.184059334489086,0.239481120460281,0.3553530918108
"enfa_1",1,0.566615129774852,-0.711693839900511,61.7788431836792,11.7023821871207,88.2976178128793,30.6175510159432,69.3824489840568,-1.02575485633845,6.08161508076349,2.32446363698363,0.0905558846668592,0.236926069773458,0.15513997752214,0.405900790150583
"enfa_2",2,1.06158338713874,-0.794894779672705,29.6573929779456,6.98351032839812,93.0164896716019,9.92785258329791,90.0721474167021,-0.882508969165875,11.3824529827113,8.00671417109872,0.100469590531683,0.142828926571036,0.484200603704771,0.688346116533554
"enfa_3",3,0.74349979507466,-1.22176683981863,33.2113718075958,7.57485372592562,92.4251462740744,11.341532130446,88.658467869554,-1.37805995205811,16.1292466366318,10.7725025663759,0.0479758226254936,0.0718323222439682,0.300825966511128,0.4504149503483
"enfa_4",4,0.536881258749958,-0.915085485088756,50.5612862621117,10.8133870565707,89.1866129434293,21.872306617645,78.127693382355,-1.1712690410689,8.462524094453,4.18376306205644,0.0916775597379124,0.185436781838548,0.24472589520962,0.495008621193294
"enfa_5",5,0.918085180950017,-0.803110757227211,21.815810791118,9.06681326023547,90.9331867397645,11.596735032977,88.403264967023,-0.908462778526104,8.8576960192776,6.92531781525961,0.104873766448646,0.134136796083487,0.608224734440032,0.777938277028183
"enfa_6",6,0.890854622912001,-1.28349890121666,23.8480581343623,13.8308469785749,86.1691530214251,18.1621724144316,81.8378275855684,-1.56834429637645,9.27997325980763,7.06687984195543,0.0864972676065941,0.113585110881624,0.210612745312982,0.27656910664811
"enfa_gj_1",1,0.590210207258743,-1.33191893934504,5.13692169431505,10.0433016683337,89.9566983316663,10.5871555590578,89.4128444409422,-1.48962819343566,13.2617637439344,12.5805173251235,0.118494623698297,0.124911215000279,0.301004531135112,0.31730419939058
